,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,15,9,7,4,4,9,14,64.3,5,143,27,18.9,37,67,39,8,2,0,6,7,22,6,0,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,0,0,0,0,0,0,3,0.0,3,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,81,49,28,47,6,29,62,46.8,33,575,173,30.1,205,322,48,50,12,0,38,54,135,69,0,Matches
261,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,25.6,56,31,45,6,5,18,44,40.9,26,370,112,30.3,231,98,41,55,12,0,43,28,84,68,1,Matches
262,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,34.4,30,16,21,8,1,12,17,70.6,5,221,64,29.0,117,98,6,50,21,0,29,26,56,170,0,Matches
263,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.4,13,9,5,2,6,4,16,25.0,12,336,80,23.8,62,173,101,9,1,0,8,2,15,1,0,Matches
264,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,1,1,2,Matches
265,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,16.6,51,33,13,31,7,9,53,17.0,44,420,134,31.9,141,211,68,29,6,0,23,12,63,20,1,Matches
266,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,1,1,0,1,0,0,0,,0,12,6,50.0,0,6,6,0,0,0,0,0,1,0,0,Matches
267,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.3,0,0,0,0,0,0,1,0.0,1,21,10,47.6,8,4,9,3,1,0,2,1,1,3,0,Matches
268,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,6.3,10,8,8,2,0,3,8,37.5,5,54,17,31.5,35,17,2,15,9,0,6,4,14,39,0,Matches
269,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.5,19,15,5,10,4,5,22,22.7,17,315,98,31.1,31,120,164,18,4,0,14,3,22,12,1,Matches
270,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,6,3,3,3,0,1,11,9.1,10,189,34,18.0,74,102,13,3,1,1,2,6,12,2,0,Matches
271,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,15.3,43,21,19,20,4,20,54,37.0,34,513,112,21.8,208,247,58,31,3,0,28,21,64,30,2,Matches
272,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,16,9,12,4,0,7,13,53.8,6,80,22,27.5,56,22,2,13,6,0,7,11,27,81,1,Matches
273,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,44,24,20,21,3,24,43,55.8,19,202,60,29.7,99,74,29,42,9,1,33,26,70,79,1,Matches
274,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,31.2,33,20,22,10,1,10,26,38.5,16,191,66,34.6,143,43,5,63,40,0,23,30,63,183,3,Matches
275,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,29.0,52,33,34,14,4,19,66,28.8,47,592,155,26.2,263,263,66,64,18,1,46,36,88,44,2,Matches
276,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27.3,50,33,22,18,10,19,68,27.9,49,605,172,28.4,173,302,130,29,4,0,25,33,83,51,0,Matches
277,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.9,9,4,4,3,2,4,9,44.4,5,105,25,23.8,27,51,27,14,1,0,13,1,10,1,0,Matches
278,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,56,39,19,23,14,22,69,31.9,47,627,199,31.7,160,338,129,21,1,0,20,10,66,8,1,Matches
279,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,38.0,44,27,25,18,1,14,36,38.9,22,240,90,37.5,155,77,8,45,25,0,20,75,119,245,1,Matches
280,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,28,1991,21.6,32,21,9,13,10,13,48,27.1,35,394,111,28.2,72,154,168,38,1,0,37,19,51,7,0,Matches
281,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,15.4,41,27,30,9,2,14,42,33.3,28,297,84,28.3,179,86,32,29,5,0,24,29,70,41,0,Matches
282,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,30.5,50,35,13,23,14,15,46,32.6,31,504,153,30.4,106,167,231,30,1,0,29,14,64,5,0,Matches
283,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,17.8,47,32,32,11,4,24,39,61.5,15,220,71,32.3,120,77,23,35,5,0,30,20,67,60,0,Matches
284,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,12.7,26,17,16,8,2,9,21,42.9,12,158,44,27.8,54,57,47,22,3,0,19,21,47,19,1,Matches
285,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,3,1,2,1,0,1,2,50.0,1,11,3,27.3,6,4,1,1,0,0,1,1,4,14,0,Matches
286,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.8,25,12,18,5,2,11,38,28.9,27,197,57,28.9,114,64,19,35,9,0,26,10,35,93,1,Matches
287,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,29.2,15,12,1,4,10,1,13,7.7,12,379,108,28.5,23,128,228,19,1,0,18,4,19,16,0,Matches
288,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,1,0,0,1,0,0,0,1,Matches
289,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,0,0,0,0,0,0,0,,0,13,2,15.4,6,3,4,1,0,0,1,1,1,0,0,Matches
290,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,23,13,12,9,2,6,17,35.3,11,247,69,27.9,88,101,58,20,1,0,19,3,26,7,0,Matches
291,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,8.6,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,2,Matches
292,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,20.2,40,25,26,11,3,14,45,31.1,31,262,77,29.4,119,105,38,41,13,2,28,28,68,99,2,Matches
293,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.4,43,27,28,12,3,11,30,36.7,19,223,65,29.1,128,81,14,29,3,0,26,13,56,29,1,Matches
294,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,8,7,2,4,2,2,13,15.4,11,118,35,29.7,18,54,46,7,1,0,6,0,8,1,0,Matches
295,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,17.6,41,21,18,22,1,9,33,27.3,24,276,79,28.6,103,151,22,33,9,0,24,23,64,35,1,Matches
296,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,13,9,5,6,2,5,12,41.7,7,64,27,42.2,35,27,2,7,3,0,4,13,26,76,0,Matches
297,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,30.7,28,17,8,13,7,8,36,22.2,28,703,185,26.3,70,278,355,31,4,0,27,5,33,7,0,Matches
298,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,34.3,110,70,50,46,14,36,106,34.0,70,932,263,28.2,368,438,126,97,24,1,73,61,171,57,0,Matches
299,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,23.5,35,21,9,20,6,7,39,17.9,32,619,150,24.2,57,291,271,33,3,0,30,18,53,43,0,Matches
300,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,28.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,2,Matches
301,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,18.7,77,42,33,37,7,30,69,43.5,39,419,125,29.8,163,208,48,35,5,0,30,27,104,19,1,Matches
302,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,25.7,59,41,24,22,13,20,66,30.3,46,508,144,28.3,137,254,117,32,2,0,30,25,84,20,1,Matches
303,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,42,26,10,23,9,5,17,29.4,12,460,118,25.7,46,241,173,20,3,1,17,3,45,24,0,Matches
304,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,33.0,48,31,26,18,4,16,53,30.2,37,589,160,27.2,226,278,85,47,8,1,39,38,86,69,1,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,37.1,55,28,20,22,13,17,68,25.0,51,734,178,24.3,208,334,192,71,6,1,65,28,83,34,0,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.7,50,31,20,26,4,17,38,44.7,21,262,84,32.1,94,138,30,39,6,0,33,33,83,52,0,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,35,16,23,12,0,19,36,52.8,17,176,56,31.8,108,62,6,64,34,0,30,44,79,279,0,Matches
309,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,22,17,9,8,5,10,29,34.5,19,142,41,28.9,59,52,31,21,2,0,19,17,39,43,3,Matches
310,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,7,4,4,2,1,1,2,50.0,1,42,14,33.3,22,18,2,5,1,0,4,6,13,7,0,Matches
311,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,23,14,14,9,0,9,16,56.3,7,132,49,37.1,83,42,7,20,12,0,8,17,40,75,1,Matches
312,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,17,8,9,8,0,4,17,23.5,13,144,39,27.1,64,63,17,13,1,0,12,9,26,3,0,Matches
313,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,60,37,34,24,2,28,76,36.8,48,519,135,26.0,249,229,41,47,8,0,39,39,99,66,1,Matches
314,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,10.4,17,10,3,12,2,4,22,18.2,18,169,41,24.3,50,93,26,15,3,1,12,8,25,25,0,Matches
315,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,43,20,30,11,2,15,27,55.6,12,229,66,28.8,155,60,14,37,18,0,19,29,72,178,1,Matches
316,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.8,4,3,1,3,0,1,7,14.3,6,63,20,31.7,11,27,25,3,0,0,3,0,4,2,0,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,32.2,25,17,18,6,1,10,18,55.6,8,160,66,41.3,106,43,11,72,55,2,17,33,58,223,7,Matches
318,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,6,2,4,0,2,1,9,11.1,8,48,13,27.1,24,15,9,6,0,0,6,3,9,1,0,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,0,0,0,0,0,0,3,0.0,3,32,8,25.0,4,16,12,2,0,0,2,0,0,1,0,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,4,4,3,1,0,1,3,33.3,2,34,10,29.4,19,13,2,3,1,0,2,3,7,17,0,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,49,28,30,14,5,22,50,44.0,28,375,92,24.5,163,159,53,41,6,0,35,29,78,55,1,Matches
322,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
323,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.2,43,31,13,19,11,8,45,17.8,37,421,125,29.7,111,198,112,48,7,1,41,23,66,29,0,Matches
324,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,14,10,2,6,6,0,5,0.0,5,313,78,24.9,17,145,151,18,6,0,12,4,18,26,0,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,4.8,5,4,3,2,0,1,3,33.3,2,30,16,53.3,16,13,1,6,4,0,2,7,12,30,0,Matches
326,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0,Matches
327,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,31.9,48,31,14,21,13,13,47,27.7,34,734,205,27.9,123,340,271,26,1,0,25,15,63,16,0,Matches
328,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,24.9,53,33,19,21,13,12,60,20.0,48,532,144,27.1,111,284,137,40,2,0,38,15,68,21,0,Matches
329,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,11,4,2,5,4,2,7,28.6,5,296,83,28.0,12,120,164,10,3,0,7,4,15,2,0,Matches
330,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.5,92,54,42,40,10,43,141,30.5,98,882,213,24.1,305,479,98,64,14,0,50,48,140,30,2,Matches
331,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.9,3,2,0,2,1,0,6,0.0,6,144,35,24.3,10,74,60,6,1,0,5,1,4,9,0,Matches
332,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,14,9,9,4,1,2,13,15.4,11,108,36,33.3,52,50,6,15,7,0,8,18,32,111,2,Matches
333,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,3,2,0,3,0,0,3,0.0,3,52,13,25.0,7,24,21,1,0,0,1,0,3,0,0,Matches
334,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,0,0,0,0,1,0.0,1,7,3,42.9,0,2,5,0,0,0,0,0,0,0,0,Matches
335,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.4,65,47,32,29,4,15,68,22.1,53,491,168,34.2,212,240,39,61,11,0,50,38,103,34,1,Matches
336,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,29.7,125,76,61,52,12,37,105,35.2,68,744,243,32.7,275,396,73,71,5,0,66,84,209,82,1,Matches
337,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,27,19,12,14,1,10,27,37.0,17,226,56,24.8,79,107,40,27,4,0,23,13,40,8,0,Matches
338,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,7.0,12,6,8,3,1,8,14,57.1,6,164,31,18.9,52,69,43,13,1,0,12,3,15,2,0,Matches
339,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,10.4,11,5,3,8,0,2,15,13.3,13,239,66,27.6,52,123,64,5,0,0,5,7,18,6,0,Matches
340,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,34.0,64,42,26,33,5,32,104,30.8,72,688,170,24.7,301,344,43,70,11,1,59,55,119,53,0,Matches
341,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,19,12,16,3,0,7,23,30.4,16,112,34,30.4,79,29,4,11,1,0,10,7,26,17,0,Matches
342,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,4,1,0,2,2,2,2,100.0,0,9,1,11.1,1,5,3,2,0,0,2,1,5,0,0,Matches
343,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,7.0,10,7,4,5,1,2,7,28.6,5,163,39,23.9,11,78,74,5,0,0,5,1,11,4,0,Matches
344,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,29.7,50,36,19,25,6,16,69,23.2,53,502,136,27.1,159,255,88,29,6,0,23,21,71,14,0,Matches
345,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,75,44,42,27,6,23,91,25.3,68,586,162,27.6,266,258,62,46,13,0,33,51,126,64,0,Matches
346,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,Matches
347,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,35,20,22,10,3,14,29,48.3,15,266,91,34.2,152,89,25,75,21,0,54,41,76,214,1,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,6,2,1,1,4,3,12,25.0,9,179,56,31.3,20,61,98,4,1,0,3,4,10,0,0,Matches
349,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,31.0,45,34,29,12,4,14,36,38.9,22,313,117,37.4,224,73,16,78,34,0,44,32,77,171,0,Matches
350,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,8.0,15,10,2,7,6,4,7,57.1,3,152,53,34.9,15,61,76,6,0,0,6,4,19,7,0,Matches
351,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,18,10,14,3,1,4,15,26.7,11,163,40,24.5,58,70,35,17,1,0,16,6,24,10,0,Matches
352,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,22,12,19,2,1,13,31,41.9,18,109,36,33.0,65,38,6,28,11,1,17,19,41,89,2,Matches
353,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,23,14,4,12,7,5,25,20.0,20,374,111,29.7,79,171,124,27,2,0,25,22,45,7,0,Matches
354,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,13,10,9,4,0,2,19,10.5,17,305,63,20.7,67,178,60,9,0,0,9,5,18,3,0,Matches
355,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,22,7,9,10,3,6,13,46.2,7,126,44,34.9,37,60,29,31,2,0,29,17,39,22,0,Matches
356,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,23,13,17,5,1,11,25,44.0,14,181,51,28.2,121,55,5,41,22,0,19,14,37,108,0,Matches
357,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,0,0,0,0,0,0,0,,0,4,2,50.0,2,0,2,0,0,0,0,0,0,0,0,Matches
358,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,0,0,0,0,0,0,2,0.0,2,5,0,0.0,5,0,0,1,0,0,1,2,2,1,1,Matches
359,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,17,10,7,7,3,3,18,16.7,15,152,49,32.2,34,72,46,7,0,0,7,9,26,1,0,Matches
360,João Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,0.3,0,0,0,0,0,0,0,,0,6,1,16.7,1,4,1,0,0,0,0,0,0,1,0,Matches
361,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,22.3,30,19,14,13,3,11,23,47.8,12,354,89,25.1,94,156,104,20,2,0,18,7,37,3,0,Matches
362,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,22,12,5,11,6,10,42,23.8,32,429,114,26.6,79,235,115,24,0,0,24,6,28,6,0,Matches
363,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,122,68,71,35,16,56,121,46.3,65,563,176,31.3,272,189,102,59,8,0,51,43,165,97,2,Matches
364,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,17,10,9,4,4,5,29,17.2,24,344,93,27.0,74,158,112,38,1,0,37,12,29,5,1,Matches
365,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,22.3,51,34,15,26,10,14,58,24.1,44,575,174,30.3,106,293,176,32,2,0,30,13,64,12,0,Matches
366,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,0,0,0,0,0,0,5,0.0,5,8,3,37.5,8,0,0,0,0,0,0,1,1,1,1,Matches
367,Brandon Pierrick\Brandon-Pierrick,eng ENG,MF,Crystal Palace,17,2001,0.2,,0,,,,,,,,,,,,,,,,,,1,0,,,Matches
368,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,20.9,58,41,23,32,3,22,62,35.5,40,345,85,24.6,162,141,42,65,8,0,57,27,85,89,0,Matches
369,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,3.2,2,2,1,0,1,0,3,0.0,3,43,13,30.2,8,20,15,5,1,0,4,3,5,3,0,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,25,16,11,10,4,8,19,42.1,11,164,57,34.8,61,70,33,20,7,0,13,5,30,13,1,Matches
371,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,1,0,0,1,2,2,0,1,Matches
372,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.6,30,18,7,19,4,10,31,32.3,21,304,76,25.0,93,162,49,26,2,0,24,15,45,13,1,Matches
373,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,0,0,0,0,0,0,0,,0,3,0,0.0,2,1,0,0,0,0,0,0,0,4,0,Matches
374,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.4,58,38,29,23,6,22,68,32.4,46,484,144,29.8,195,235,54,39,11,0,28,30,88,43,2,Matches
375,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,32.1,17,12,4,5,8,2,37,5.4,35,602,160,26.6,48,245,309,22,3,0,19,6,23,9,0,Matches
376,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,19.1,31,19,17,10,4,11,35,31.4,24,380,112,29.5,91,171,118,23,0,0,23,7,38,11,0,Matches
377,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,6,3,3,2,1,3,9,33.3,6,38,8,21.1,19,17,2,3,1,1,2,3,9,4,0,Matches
378,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,1,0,1,0,0,1,3,33.3,2,16,3,18.8,5,7,4,2,0,0,2,0,1,0,0,Matches
379,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,0,0,0,0,0,0,2,0.0,2,8,1,12.5,8,0,0,1,0,0,1,0,0,0,2,Matches
380,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,12,6,1,7,4,7,28,25.0,21,378,102,27.0,32,175,171,26,0,0,26,9,21,20,0,Matches
382,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,57,46,16,25,16,19,64,29.7,45,643,193,30.0,164,254,225,39,2,0,37,15,72,13,0,Matches
383,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,1,2,Matches
384,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38.0,122,89,66,52,4,32,95,33.7,63,819,237,28.9,386,385,48,68,9,0,59,78,200,62,0,Matches
385,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,34.1,68,45,26,28,14,19,57,33.3,38,709,188,26.5,120,332,257,34,5,0,29,12,80,48,0,Matches
386,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,25.9,65,42,41,21,3,18,56,32.1,38,407,126,31.0,210,138,59,82,6,0,76,80,145,99,0,Matches
387,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,15,12,5,8,2,8,13,61.5,5,118,40,33.9,50,52,16,13,2,0,11,15,30,17,0,Matches
388,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,14.6,24,17,11,10,3,4,17,23.5,13,208,49,23.6,89,70,49,27,4,0,23,12,36,36,0,Matches
389,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
390,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,0,0,0,0,0,0,0,,0,4,1,25.0,2,2,0,0,0,0,0,0,0,0,0,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,34.6,60,32,19,25,16,31,69,44.9,38,390,134,34.4,136,144,110,59,7,0,52,38,98,82,0,Matches
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,4,4,1,1,2,1,4,25.0,3,178,50,28.1,29,80,69,4,0,0,4,5,9,2,0,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,9,3,5,4,0,5,10,50.0,5,53,16,30.2,32,19,2,15,5,0,10,7,16,39,0,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,64,44,23,33,8,28,68,41.2,40,462,137,29.7,142,254,66,28,6,0,22,28,92,61,0,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,33,17,7,16,10,6,36,16.7,30,574,150,26.1,77,244,253,43,11,0,32,5,38,7,0,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
