,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
326,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,1,6.92,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
327,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,31.9,115,3.61,69,29,3,5,9,16,0.50,9,4,1,0,2,0,Matches
328,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,24.9,84,3.37,59,0,12,3,10,8,0.32,5,0,3,0,0,0,Matches
329,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,26,1.89,15,0,8,1,2,5,0.36,5,0,0,0,0,0,Matches
330,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.5,113,3.27,60,52,1,0,0,11,0.32,6,5,0,0,0,0,Matches
331,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.9,12,1.36,7,0,1,3,1,1,0.11,1,0,0,0,0,0,Matches
332,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,3,0.22,2,0,0,1,0,1,0.07,0,0,0,1,0,0,Matches
333,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,3,1.27,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
334,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
335,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.4,18,0.88,18,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
336,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,29.7,36,1.21,33,0,1,1,1,4,0.13,4,0,0,0,0,0,Matches
337,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,28,2.50,25,1,0,2,0,2,0.18,2,0,0,0,0,0,Matches
338,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,7.0,21,3.00,12,4,2,2,1,1,0.14,0,0,0,1,0,0,Matches
339,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,10.4,33,3.16,20,3,6,0,4,7,0.67,4,1,1,0,1,0,Matches
340,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,34.0,59,1.74,50,1,3,4,1,3,0.09,2,0,0,1,0,0,Matches
341,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,2,0.41,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
342,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
343,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,7.0,11,1.56,7,0,2,0,2,0,0.00,0,0,0,0,0,0,Matches
344,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,29.7,73,2.46,52,12,2,0,7,8,0.27,4,1,0,0,3,0,Matches
345,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,79,2.30,43,30,0,3,1,6,0.17,2,2,0,0,0,2,Matches
346,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
347,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,23,0.71,21,0,0,2,0,2,0.06,2,0,0,0,0,0,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,18,2.44,13,0,3,2,0,2,0.27,2,0,0,0,0,0,Matches
349,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,31.0,9,0.29,9,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
350,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,8.0,23,2.89,11,0,6,2,3,4,0.50,0,0,1,1,1,1,Matches
351,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,13,1.97,11,0,0,1,1,4,0.61,3,0,0,1,0,0,Matches
352,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,8,0.42,6,0,0,2,0,1,0.05,0,0,0,1,0,0,Matches
353,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,41,2.48,31,0,3,3,4,4,0.24,1,0,2,0,1,0,Matches
354,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,63,3.94,42,17,2,0,2,7,0.44,6,1,0,0,0,0,Matches
355,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,28,2.46,20,7,1,0,0,0,0.00,0,0,0,0,0,0,Matches
356,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,4,0.21,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
357,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
358,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,4,0.11,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
359,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,34,4.63,23,1,4,4,2,4,0.54,2,0,1,1,0,0,Matches
360,João Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,0.3,2,7.20,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
361,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,22.3,66,2.96,38,13,9,3,3,9,0.40,8,1,0,0,0,0,Matches
362,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,57,3.46,44,6,3,2,2,7,0.42,6,1,0,0,0,0,Matches
363,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,60,2.14,50,2,5,0,3,9,0.32,8,0,0,0,1,0,Matches
364,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,41,2.24,26,6,4,1,4,1,0.05,0,0,0,0,1,0,Matches
365,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,22.3,69,3.10,53,1,7,2,6,11,0.49,8,1,1,0,1,0,Matches
366,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,6,0.16,3,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
367,Brandon Pierrick\Brandon-Pierrick,eng ENG,MF,Crystal Palace,17,2001,0.2,,,,,,,,,,,,,,,,Matches
368,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,20.9,23,1.10,22,0,0,1,0,4,0.19,4,0,0,0,0,0,Matches
369,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,3.2,11,3.43,7,0,1,1,2,2,0.62,0,0,1,0,1,0,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,57,4.26,49,0,4,0,4,7,0.52,5,0,1,0,1,0,Matches
371,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,8,0.21,5,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
372,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.6,23,1.83,15,1,2,3,1,4,0.32,3,0,0,0,0,1,Matches
373,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
374,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.4,62,1.97,56,0,1,3,2,4,0.13,4,0,0,0,0,0,Matches
375,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,32.1,53,1.65,41,0,5,4,2,5,0.16,3,0,1,0,0,1,Matches
376,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,19.1,79,4.13,51,0,16,4,8,13,0.68,7,0,2,1,3,0,Matches
377,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
378,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
379,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,3,0.08,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
380,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,93,3.17,65,2,11,4,10,20,0.68,11,0,4,0,4,1,Matches
382,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,91,2.97,65,0,13,4,9,6,0.20,5,0,0,0,1,0,Matches
383,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,2,0.17,2,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
384,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38.0,45,1.18,41,0,2,2,0,7,0.18,5,0,0,2,0,0,Matches
385,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,34.1,78,2.29,45,0,10,8,14,10,0.29,5,0,2,1,1,1,Matches
386,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,25.9,52,2.01,23,28,0,0,0,7,0.27,4,2,0,0,0,1,Matches
387,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,5,0.59,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
388,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,14.6,44,3.01,17,25,0,1,1,2,0.14,2,0,0,0,0,0,Matches
389,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
390,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,1,3.46,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,34.6,108,3.12,89,13,5,1,0,20,0.58,16,1,3,0,0,0,Matches
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,11,1.46,9,0,0,1,0,2,0.27,1,0,0,0,0,1,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,4,0.71,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,64,2.32,57,0,2,2,3,3,0.11,2,0,0,1,0,0,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,31,1.38,21,0,3,4,3,5,0.22,4,0,0,1,0,0,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
397,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
398,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,20.7,31,1.50,27,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches
399,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,7,0.73,6,1,0,0,0,1,0.10,0,1,0,0,0,0,Matches
400,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,15,1.51,11,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
401,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,19.0,9,0.47,8,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
402,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,7.7,14,1.81,12,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,4,0.11,3,1,0,0,0,3,0.08,2,1,0,0,0,0,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,87,4.20,52,0,22,6,7,9,0.43,6,0,1,1,1,0,Matches
405,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,25,0.83,19,1,1,3,0,2,0.07,0,0,0,1,0,1,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,45,2.31,32,2,7,2,2,7,0.36,6,0,1,0,0,0,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,1,0.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,118,3.69,76,4,23,10,5,16,0.50,8,2,4,1,1,0,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,21,2.00,14,0,1,1,4,1,0.10,0,0,0,0,0,1,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,1,0.77,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,6,0.22,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,1,7.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,68,3.02,49,1,4,5,9,8,0.36,5,0,0,0,3,0,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,16,0.86,13,0,1,2,0,3,0.16,2,0,0,1,0,0,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,3,0.75,1,0,0,1,1,1,0.25,0,0,0,0,1,0,Matches
416,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,11.5,13,1.13,9,0,1,1,2,2,0.17,2,0,0,0,0,0,Matches
417,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,5,0.13,1,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches
418,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,17,1.53,15,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
419,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,4,1.05,4,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
420,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,4,1.95,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
421,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,26,2.23,18,0,2,2,4,3,0.26,2,0,0,1,0,0,Matches
422,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,42,2.18,34,4,1,1,2,1,0.05,1,0,0,0,0,0,Matches
423,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,60,2.55,42,14,3,1,0,6,0.25,3,2,1,0,0,0,Matches
424,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,20.3,35,1.73,30,3,0,0,2,4,0.20,4,0,0,0,0,0,Matches
425,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,28.4,80,2.81,32,31,4,11,2,8,0.28,4,2,1,1,0,0,Matches
426,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.6,94,4.17,81,2,6,4,1,12,0.53,9,0,2,1,0,0,Matches
427,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,20.3,108,5.32,88,1,8,6,5,17,0.84,13,1,1,1,1,0,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
429,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,27,0.99,26,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches
430,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
431,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,4.4,4,0.92,4,0,0,0,0,2,0.46,2,0,0,0,0,0,Matches
432,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,22.8,19,0.83,16,0,1,0,2,1,0.04,1,0,0,0,0,0,Matches
433,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
434,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,51,3.04,19,24,3,1,4,7,0.42,3,4,0,0,0,0,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,23,1.58,21,2,0,0,0,2,0.14,1,1,0,0,0,0,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,3,1.08,2,1,0,0,0,1,0.36,1,0,0,0,0,0,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,43,2.34,30,0,3,5,5,5,0.27,2,0,1,1,1,0,Matches
438,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,8,0.69,7,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
439,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,13,0.39,10,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,16,0.93,14,0,2,0,0,2,0.12,2,0,0,0,0,0,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,24,3.03,13,7,2,2,0,4,0.51,1,0,1,2,0,0,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,40,1.42,38,0,0,2,0,3,0.11,3,0,0,0,0,0,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,15,0.55,13,1,1,0,0,3,0.11,3,0,0,0,0,0,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,116,3.94,82,1,10,12,11,11,0.37,5,0,0,3,3,0,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,67,1.80,54,6,4,3,0,9,0.24,8,0,1,0,0,0,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,33,2.52,27,0,5,1,0,2,0.15,2,0,0,0,0,0,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,11,0.88,11,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,4,5.14,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,2,1.31,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,1,0.38,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,2,0.34,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,54,2.12,46,6,0,1,1,4,0.16,3,0,0,1,0,0,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,26,0.68,22,0,0,4,0,7,0.18,5,0,0,2,0,0,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,21,0.97,19,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,10,0.82,10,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,1,30.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,18,0.69,16,0,0,2,0,1,0.04,1,0,0,0,0,0,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,15,5.06,15,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,93,2.96,80,5,1,2,5,9,0.29,9,0,0,0,0,0,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,11,1.00,8,1,2,0,0,3,0.27,2,1,0,0,0,0,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,5,0.28,4,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,14,0.98,14,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,28,1.67,19,3,2,2,2,2,0.12,2,0,0,0,0,0,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,2,1.02,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,7,2.16,6,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,22,1.53,17,1,0,2,2,2,0.14,2,0,0,0,0,0,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,96,3.32,66,0,18,0,12,14,0.48,11,0,1,0,2,0,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,44,2.03,29,2,5,4,4,2,0.09,1,0,0,0,1,0,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,78,3.49,55,9,7,3,3,9,0.40,4,2,1,1,0,1,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,9,0.72,7,0,1,1,0,1,0.08,1,0,0,0,0,0,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,2,0.95,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,7,0.81,5,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,63,1.87,40,0,11,6,5,12,0.36,6,0,2,1,2,1,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,1,1.76,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,8,0.44,7,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,6,0.36,6,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,9,1.24,6,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
486,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,22,3.11,16,0,0,4,2,0,0.00,0,0,0,0,0,0,Matches
487,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,21,2.31,13,0,4,1,3,3,0.33,1,0,2,0,0,0,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,32,2.24,24,0,3,3,2,4,0.28,3,0,0,1,0,0,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,49,1.84,45,0,3,0,1,6,0.23,6,0,0,0,0,0,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,6,2.24,4,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,7,0.90,6,0,0,1,0,1,0.13,0,0,0,1,0,0,Matches
