,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,8,1.42,6,1,0,1,0,1,0.18,0,0,0,1,0,0,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,13,1.45,12,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,135,4.93,83,30,10,3,9,7,0.26,5,1,0,1,0,0,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,34,1.06,29,3,1,1,0,2,0.06,2,0,0,0,0,0,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,19,1.32,14,0,1,3,1,0,0.00,0,0,0,0,0,0,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,8,0.33,5,1,0,2,0,1,0.04,1,0,0,0,0,0,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,54,1.85,34,0,2,5,12,3,0.10,2,0,0,0,0,1,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,1,15.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,43,3.20,32,1,6,2,2,2,0.15,1,0,0,0,1,0,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,73,2.64,58,0,6,3,6,5,0.18,5,0,0,0,0,0,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,43,1.47,32,6,2,0,3,3,0.10,2,1,0,0,0,0,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,20,2.85,19,0,0,0,1,7,1.00,7,0,0,0,0,0,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,49,1.53,42,2,2,0,3,6,0.19,5,1,0,0,0,0,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,5,0.18,5,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,47,2.50,32,12,0,1,2,6,0.32,5,1,0,0,0,0,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,18,1.74,16,2,0,0,0,2,0.19,2,0,0,0,0,0,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,15,1.23,9,2,0,4,0,2,0.16,1,0,0,1,0,0,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,62,2.35,53,7,1,1,0,7,0.27,7,0,0,0,0,0,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,2,4.86,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,12,1.21,11,0,0,1,0,1,0.10,1,0,0,0,0,0,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,11,0.57,10,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,1,0.08,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,31,2.87,24,2,0,2,3,1,0.09,0,0,0,1,0,0,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,13,0.34,13,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,23,1.13,16,2,3,2,0,3,0.15,2,0,0,1,0,0,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,22,1.57,7,0,3,3,9,5,0.36,1,0,1,1,2,0,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,32,2.13,24,2,1,3,2,4,0.27,2,0,0,1,1,0,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,6,0.22,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,24,0.83,20,0,2,0,2,3,0.10,3,0,0,0,0,0,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,46,1.52,33,6,2,1,4,2,0.07,1,0,1,0,0,0,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,2,0.61,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,4,2.86,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,7,0.50,6,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,3,0.97,3,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,17,1.07,15,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,24,1.07,17,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,20,3.28,11,0,1,4,4,3,0.49,1,0,0,1,1,0,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,12,0.46,7,0,0,5,0,0,0.00,0,0,0,0,0,0,Matches
