,Player,Pos,Squad,Age,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,FK,PassCmp,PassAttm,TotalPassDist,PrgPassDist,ShortCmp,ShortAttm,MedCmp,MedAttm,LongCmp,LongAttm,KeyPasses,FinalThirdPass,PenPass,CrsPA,PrgPassNum,Live,Dead,ThroughBalls,PassUnderPressure,SwitchingPass,Cross,GroundPass,LowPass,HighPass,InterceptedPass,SCA,GCA,Tkl,TklW,TklDef,TklMid,TklAtt,DribTkl,DrbTklAttm,NumPressed,SuccPress,PressDef,PressMid,PressAtt,TotalBlocks,ShotsBlocked,PassesBlocked,PassesIntercepted,Clearances,TouchesDefPen,TouchesDef,TouchesMid,TouchesAtt,TouchesAttPen,LiveTouches,SuccDrib,AttmDrib,PlayersDrib,Nutmegs,Carries,DistCarried,PrgDistCarried,TargetOfPass,PassesRecvd,Miscontrols,Disposessed,Fouls,Recoveries,AerialsWon,AerialsLost
122,Shane Duffy,DF,Brighton,27.0,1238.0,1.0,0.0,1.5,1.5,0.0,6.0,1.0,0.0,515.0,613.0,12117.0,3501.0,5.0,11.0,311.0,349.0,199.0,253.0,1.0,26.0,4.0,0.0,24.0,577.0,36.0,0.0,98.0,35.0,1.0,391.0,86.0,136.0,3.0,5.0,0.0,16.0,9.0,10.0,5.0,1.0,4.0,18.0,100.0,34.0,71.0,27.0,2.0,21.0,8.0,13.0,21.0,116.0,124.0,503.0,304.0,35.0,16.0,766.0,2.0,5.0,3.0,0.0,420.0,2022.0,1047.0,465.0,455.0,6.0,2.0,14.0,136.0,63.0,17.0
123,Paul Dummett,DF,Newcastle Utd,27.0,1228.0,0.0,0.0,0.1,0.1,0.1,1.0,1.0,0.0,358.0,502.0,6793.0,3372.0,3.0,14.0,283.0,330.0,72.0,158.0,4.0,46.0,4.0,3.0,48.0,450.0,52.0,0.0,104.0,11.0,15.0,262.0,71.0,169.0,6.0,6.0,1.0,28.0,6.0,18.0,6.0,4.0,12.0,20.0,163.0,40.0,97.0,58.0,8.0,42.0,10.0,32.0,19.0,72.0,92.0,337.0,264.0,86.0,6.0,613.0,1.0,3.0,1.0,0.0,327.0,1291.0,647.0,358.0,335.0,3.0,1.0,4.0,121.0,35.0,23.0
124,Lewis Dunk,DF,Brighton,27.0,3230.0,3.0,3.0,4.2,4.2,1.1,30.0,10.0,5.0,1913.0,2192.0,45038.0,13465.0,11.0,22.0,1215.0,1293.0,687.0,877.0,11.0,129.0,5.0,0.0,97.0,2094.0,98.0,1.0,262.0,116.0,1.0,1529.0,264.0,399.0,22.0,25.0,3.0,43.0,28.0,31.0,12.0,0.0,13.0,41.0,248.0,107.0,164.0,72.0,12.0,71.0,37.0,34.0,54.0,162.0,436.0,1559.0,1029.0,107.0,43.0,2448.0,3.0,7.0,3.0,0.0,1596.0,8765.0,4727.0,1737.0,1712.0,7.0,10.0,19.0,410.0,84.0,44.0
125,Ederson,GK,Manchester City,25.0,3071.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,927.0,1063.0,23484.0,13255.0,1.0,1.0,579.0,584.0,347.0,478.0,1.0,11.0,0.0,0.0,0.0,878.0,185.0,1.0,117.0,38.0,0.0,790.0,59.0,214.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,947.0,1121.0,25.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,702.0,3209.0,2148.0,668.0,665.0,2.0,0.0,2.0,155.0,0.0,0.0
126,John Egan,DF,Sheffield Utd,26.0,3187.0,2.0,0.0,2.3,2.3,0.1,28.0,5.0,0.0,1017.0,1212.0,24161.0,6506.0,10.0,20.0,603.0,671.0,404.0,521.0,1.0,67.0,2.0,0.0,73.0,1180.0,32.0,0.0,190.0,49.0,2.0,768.0,155.0,289.0,2.0,6.0,1.0,45.0,27.0,32.0,13.0,0.0,21.0,45.0,296.0,101.0,209.0,80.0,7.0,73.0,33.0,40.0,56.0,270.0,248.0,896.0,792.0,65.0,47.0,1638.0,3.0,3.0,3.0,1.0,803.0,4700.0,2585.0,861.0,831.0,8.0,1.0,33.0,370.0,140.0,57.0
127,Harvey Elliot,DF,Liverpool,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,204.0,79.0,0.0,0.0,10.0,11.0,2.0,4.0,0.0,2.0,1.0,1.0,4.0,11.0,4.0,0.0,0.0,1.0,3.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,12.0,1.0,1.0,1.0,0.0,10.0,44.0,13.0,14.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0
128,Ahmed Elmohamady,DF,Aston Villa,31.0,1031.0,1.0,1.0,0.2,0.2,2.6,5.0,1.0,0.0,484.0,633.0,9323.0,3709.0,6.0,22.0,376.0,430.0,102.0,181.0,19.0,42.0,22.0,16.0,78.0,533.0,100.0,0.0,102.0,12.0,58.0,304.0,136.0,193.0,18.0,28.0,1.0,25.0,17.0,17.0,6.0,2.0,10.0,22.0,109.0,28.0,56.0,40.0,13.0,11.0,5.0,6.0,13.0,29.0,48.0,211.0,327.0,240.0,17.0,622.0,6.0,9.0,7.0,0.0,429.0,2352.0,1408.0,462.0,424.0,4.0,5.0,13.0,114.0,25.0,20.0
129,Björn Engels,DF,Aston Villa,24.0,1447.0,1.0,0.0,0.8,0.8,0.1,7.0,1.0,0.0,503.0,605.0,11925.0,3869.0,3.0,7.0,300.0,340.0,200.0,258.0,1.0,46.0,1.0,1.0,38.0,586.0,19.0,0.0,91.0,29.0,2.0,399.0,68.0,138.0,5.0,6.0,0.0,9.0,4.0,7.0,2.0,0.0,5.0,11.0,81.0,29.0,54.0,26.0,1.0,26.0,19.0,7.0,29.0,111.0,154.0,489.0,310.0,34.0,13.0,757.0,2.0,2.0,2.0,0.0,435.0,2540.0,1449.0,469.0,461.0,0.0,2.0,5.0,128.0,58.0,28.0
130,Christian Eriksen,"MF,FW",Tottenham,27.0,1097.0,2.0,2.0,1.9,1.9,1.9,26.0,9.0,7.0,549.0,743.0,10139.0,2773.0,7.0,19.0,419.0,499.0,123.0,225.0,23.0,58.0,21.0,1.0,76.0,659.0,84.0,4.0,119.0,35.0,72.0,468.0,111.0,164.0,18.0,40.0,3.0,19.0,12.0,12.0,6.0,1.0,5.0,23.0,260.0,55.0,83.0,126.0,51.0,19.0,1.0,18.0,11.0,11.0,17.0,136.0,430.0,350.0,21.0,779.0,3.0,12.0,3.0,0.0,554.0,2673.0,1495.0,679.0,573.0,17.0,14.0,9.0,138.0,3.0,9.0
131,Jonny Evans,DF,Leicester City,31.0,3383.0,1.0,1.0,2.6,2.6,0.6,24.0,10.0,0.0,2088.0,2372.0,47140.0,13760.0,6.0,14.0,1357.0,1461.0,725.0,897.0,7.0,144.0,5.0,1.0,126.0,2285.0,87.0,2.0,306.0,60.0,8.0,1764.0,219.0,389.0,12.0,22.0,4.0,48.0,31.0,31.0,16.0,1.0,27.0,42.0,278.0,111.0,178.0,80.0,20.0,53.0,21.0,32.0,58.0,271.0,399.0,1484.0,1373.0,104.0,39.0,2732.0,9.0,10.0,9.0,0.0,1775.0,9493.0,5297.0,1905.0,1871.0,6.0,7.0,36.0,434.0,141.0,59.0
