,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,173,235,73.6,2905,842,1,9,11.1,143,178,80.3,29,48,60.4,1,0.6,+0.4,4,11,6,5,29,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,12,14,85.7,235,80,0,1,0.0,9,10,90.0,3,3,100.0,0,0.1,-0.1,1,0,1,0,2,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,60,81,74.1,1315,254,1,3,33.3,37,49,75.5,22,29,75.9,0,0.1,-0.1,2,9,0,0,6,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,674,798,84.5,10954,3118,29,43,67.4,539,601,89.7,106,154,68.8,2,2.6,-0.6,31,66,15,3,89,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,1041,1114,93.4,22473,6786,4,12,33.3,710,733,96.9,327,369,88.6,0,0.1,-0.1,1,109,1,0,81,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,669,811,82.5,14591,3589,10,22,45.5,433,505,85.7,226,284,79.6,0,0.1,-0.1,2,25,2,0,20,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,158,194,81.4,2664,1051,5,7,71.4,127,138,92.0,26,49,53.1,0,0.2,-0.2,6,8,4,1,12,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,472,553,85.4,7841,1732,12,23,52.2,390,430,90.7,70,100,70.0,0,0.3,-0.3,8,46,16,2,45,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,136,187,72.7,2876,1077,0,3,0.0,97,117,82.9,39,67,58.2,0,0.1,-0.1,1,9,0,0,13,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,92,131,70.2,1435,349,3,14,21.4,75,92,81.5,14,25,56.0,0,0.1,-0.1,2,5,2,1,8,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,742,990,74.9,18293,9806,5,6,83.3,486,491,99.0,251,493,50.9,0,0.0,0.0,0,3,0,0,0,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,1092,1377,79.3,21965,6525,18,41,43.9,796,932,85.4,278,404,68.8,2,1.8,+0.2,12,119,16,0,123,Matches
261,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,25.6,1036,1306,79.3,17173,6330,15,59,25.4,887,1023,86.7,134,224,59.8,0,1.0,-1.0,15,41,20,8,115,Matches
262,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,34.4,1764,2013,87.6,35557,11011,15,37,40.5,1280,1370,93.4,469,606,77.4,0,0.3,-0.3,4,83,1,0,95,Matches
263,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.4,351,409,85.8,5153,991,15,25,60.0,299,334,89.5,37,50,74.0,0,0.9,-0.9,17,31,11,0,33,Matches
264,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20.1,395,568,69.5,13104,8620,3,3,100.0,179,181,98.9,213,384,55.5,0,0.0,0.0,0,10,0,0,0,Matches
265,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,16.6,832,1005,82.8,15375,3977,18,36,50.0,638,712,89.6,176,257,68.5,2,2.0,0.0,29,91,27,2,103,Matches
266,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,9,19,47.4,136,8,0,3,0.0,9,15,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
267,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.3,116,131,88.5,1837,338,3,4,75.0,98,110,89.1,15,17,88.2,1,0.2,+0.8,1,11,2,0,8,Matches
268,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,6.3,142,186,76.3,3238,952,3,5,60.0,83,106,78.3,56,75,74.7,0,0.0,0.0,0,8,0,0,9,Matches
269,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.5,226,405,55.8,2946,786,15,42,35.7,196,323,60.7,15,40,37.5,2,1.4,+0.6,15,17,9,4,32,Matches
270,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,193,237,81.4,3607,653,3,8,37.5,145,167,86.8,45,62,72.6,0,0.2,-0.2,3,12,4,1,13,Matches
271,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,15.3,515,657,78.4,10161,2464,9,25,36.0,381,439,86.8,125,193,64.8,1,1.0,0.0,15,42,4,1,52,Matches
272,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,530,603,87.9,11986,3512,1,5,20.0,346,370,93.5,183,228,80.3,1,0.3,+0.7,1,43,4,0,34,Matches
273,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,497,726,68.5,9807,4187,8,24,33.3,360,440,81.8,129,262,49.2,1,1.1,-0.1,12,46,16,4,96,Matches
274,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,31.2,1481,1713,86.5,36775,10642,10,21,47.6,843,894,94.3,628,798,78.7,1,1.0,0.0,4,100,9,1,89,Matches
275,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,29.0,984,1216,80.9,20872,4811,11,25,44.0,660,771,85.6,313,420,74.5,2,1.4,+0.6,16,114,20,4,110,Matches
276,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27.3,966,1202,80.4,18416,3844,21,55,38.2,722,844,85.5,223,303,73.6,3,2.4,+0.6,19,77,31,6,94,Matches
277,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.9,84,130,64.6,1479,361,1,3,33.3,69,87,79.3,14,40,35.0,0,0.3,-0.3,5,7,1,1,11,Matches
278,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,1282,1674,76.6,25933,7769,22,57,38.6,892,1029,86.7,368,588,62.6,3,7.2,-4.2,84,155,44,6,238,Matches
279,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,38.0,2128,2404,88.5,46952,11786,19,29,65.5,1390,1514,91.8,719,861,83.5,1,0.5,+0.5,16,168,3,0,107,Matches
280,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,28,1991,21.6,1009,1188,84.9,18595,4424,17,42,40.5,782,863,90.6,210,283,74.2,9,9.0,0.0,58,53,71,8,147,Matches
281,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,15.4,825,999,82.6,14109,4763,18,41,43.9,670,750,89.3,137,208,65.9,2,1.4,+0.6,10,50,13,5,75,Matches
282,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,30.5,933,1162,80.3,15607,3859,25,69,36.2,755,888,85.0,153,205,74.6,7,7.0,0.0,56,65,66,11,132,Matches
283,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,17.8,452,632,71.5,7518,2821,13,35,37.1,372,463,80.3,67,134,50.0,1,0.4,+0.6,6,27,5,4,61,Matches
284,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,12.7,435,601,72.4,8085,2327,3,28,10.7,343,404,84.9,89,169,52.7,1,0.7,+0.3,13,18,20,7,69,Matches
285,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,81,91,89.0,1746,362,0,2,0.0,50,51,98.0,31,38,81.6,0,0.0,0.0,0,4,0,0,4,Matches
286,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.8,426,585,72.8,8470,3770,9,18,50.0,296,359,82.5,121,208,58.2,0,0.4,-0.4,4,32,3,3,70,Matches
287,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,29.2,575,721,79.8,8011,1716,25,69,36.2,496,582,85.2,54,70,77.1,6,4.2,+1.8,31,36,33,1,67,Matches
288,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,55,124,44.4,2858,2411,0,0,,7,7,100.0,48,117,41.0,0,0.0,0.0,0,2,0,0,0,Matches
289,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,12,16,75.0,138,29,0,1,0.0,12,14,85.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches
290,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,86,138,62.3,1242,373,2,13,15.4,75,109,68.8,9,16,56.3,0,0.2,-0.2,2,2,6,1,11,Matches
291,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,8.6,212,293,72.4,5765,3162,4,5,80.0,123,124,99.2,85,164,51.8,0,0.0,0.0,0,6,0,0,0,Matches
292,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,20.2,582,934,62.3,11968,6034,11,47,23.4,419,526,79.7,152,361,42.1,0,0.6,-0.6,13,57,15,12,131,Matches
293,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.4,472,588,80.3,7530,2993,12,33,36.4,396,449,88.2,64,106,60.4,1,1.0,0.0,6,27,5,3,51,Matches
294,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,442,523,84.5,7006,1623,6,24,25.0,376,404,93.1,60,95,63.2,2,1.9,+0.1,19,41,18,2,46,Matches
295,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,17.6,1095,1240,88.3,20186,5087,9,27,33.3,850,925,91.9,236,288,81.9,2,1.3,+0.7,17,118,12,1,100,Matches
296,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,448,514,87.2,10265,3136,1,3,33.3,285,311,91.6,162,200,81.0,0,0.0,0.0,0,44,2,0,39,Matches
297,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,30.7,540,688,78.5,8462,1458,28,63,44.4,426,515,82.7,86,110,78.2,3,2.5,+0.5,26,28,27,3,59,Matches
298,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,34.3,1153,1474,78.2,20354,6398,33,87,37.9,901,1056,85.3,219,331,66.2,3,2.6,+0.4,33,129,24,3,145,Matches
299,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,23.5,407,630,64.6,5909,1562,16,51,31.4,350,512,68.4,41,67,61.2,0,1.5,-1.5,12,27,13,0,50,Matches
300,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,28.0,441,815,54.1,17431,12921,1,2,50.0,163,168,97.0,277,645,42.9,0,0.0,0.0,1,27,1,0,0,Matches
301,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,18.7,630,818,77.0,12696,3516,29,49,59.2,444,510,87.1,157,259,60.6,0,0.9,-0.9,18,62,8,0,81,Matches
302,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,25.7,584,772,75.6,13624,3881,13,38,34.2,360,435,82.8,211,299,70.6,3,2.4,+0.6,40,71,30,8,113,Matches
303,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,475,623,76.2,7899,1289,8,30,26.7,394,483,81.6,73,110,66.4,2,2.1,-0.1,16,27,9,3,36,Matches
304,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,31,51,60.8,826,541,2,2,100.0,16,16,100.0,13,33,39.4,0,0.0,0.0,0,0,0,0,0,Matches
305,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,33.0,1324,1689,78.4,23421,7801,33,72,45.8,1039,1215,85.5,252,402,62.7,1,2.1,-1.1,26,130,19,5,161,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,37.1,874,1277,68.4,16968,5382,16,87,18.4,648,780,83.1,210,410,51.2,6,6.7,-0.7,55,92,42,29,147,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.7,816,995,82.0,16600,4078,10,27,37.0,586,684,85.7,220,284,77.5,1,0.7,+0.3,14,88,11,2,88,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,875,1172,74.7,20667,7937,7,19,36.8,527,598,88.1,341,555,61.4,1,0.6,+0.4,6,59,1,0,64,Matches
309,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1108,1285,86.2,19843,5799,12,37,32.4,927,1014,91.4,169,234,72.2,2,1.4,+0.6,20,55,38,20,153,Matches
310,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,194,212,91.5,3423,770,4,6,66.7,154,164,93.9,36,42,85.7,0,0.1,-0.1,3,22,1,0,11,Matches
311,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,414,483,85.7,8787,2807,3,8,37.5,293,322,91.0,118,153,77.1,0,0.1,-0.1,1,16,0,0,24,Matches
312,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,160,213,75.1,2199,607,10,26,38.5,137,161,85.1,13,26,50.0,0,0.7,-0.7,5,12,8,2,18,Matches
313,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,1161,1506,77.1,24830,8182,19,36,52.8,795,906,87.7,347,564,61.5,1,1.8,-0.8,28,105,9,0,170,Matches
314,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,10.4,664,773,85.9,13502,3314,5,22,22.7,484,525,92.2,175,226,77.4,2,0.7,+1.3,9,68,12,1,71,Matches
315,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,1070,1251,85.5,25554,7200,7,17,41.2,628,704,89.2,435,530,82.1,1,0.2,+0.8,4,51,1,0,65,Matches
316,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.8,98,111,88.3,1465,186,4,5,80.0,84,94,89.4,10,12,83.3,0,0.0,0.0,1,3,4,1,6,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,32.2,1055,1333,79.1,26161,8304,7,29,24.1,586,641,91.4,462,663,69.7,2,0.7,+1.3,7,67,4,1,56,Matches
318,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,96,119,80.7,1639,850,0,3,0.0,82,94,87.2,14,22,63.6,0,0.2,-0.2,4,8,3,3,19,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,58,77,75.3,935,218,2,7,28.6,46,54,85.2,10,16,62.5,0,0.2,-0.2,2,3,2,0,7,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,182,201,90.5,2676,1122,4,6,66.7,167,177,94.4,11,18,61.1,0,0.2,-0.2,3,8,0,0,11,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,1006,1255,80.2,17672,6217,11,54,20.4,827,950,87.1,168,251,66.9,1,1.4,-0.4,20,41,34,18,137,Matches
322,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,19,48,39.6,946,736,0,0,,4,4,100.0,15,44,34.1,0,0.0,0.0,0,0,0,0,0,Matches
323,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.2,825,1075,76.7,14311,4141,18,60,30.0,661,747,88.5,146,268,54.5,2,3.3,-1.3,39,80,31,7,126,Matches
324,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,277,377,73.5,4420,608,11,25,44.0,229,302,75.8,37,50,74.0,1,0.8,+0.2,11,20,2,0,12,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,4.8,220,238,92.4,4281,1033,2,4,50.0,171,179,95.5,47,55,85.5,0,0.0,0.0,0,3,0,0,9,Matches
326,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,4,6,66.7,53,30,0,1,0.0,4,5,80.0,0,0,,0,0.0,0.0,0,2,0,0,1,Matches
327,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,31.9,1116,1380,80.9,17835,4739,50,93,53.8,905,1023,88.5,161,264,61.0,5,4.6,+0.4,53,105,35,6,142,Matches
328,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,24.9,581,799,72.7,8734,2503,15,57,26.3,503,621,81.0,63,121,52.1,4,2.4,+1.6,32,43,32,3,84,Matches
329,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,176,239,73.6,2351,394,5,20,25.0,157,197,79.7,14,22,63.6,4,2.5,+1.5,11,9,5,1,15,Matches
330,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.5,1614,2022,79.8,35525,8825,17,56,30.4,1063,1192,89.2,534,774,69.0,6,6.3,-0.3,80,154,33,12,242,Matches
331,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.9,116,177,65.5,1654,304,5,16,31.3,98,134,73.1,13,27,48.1,1,0.5,+0.5,4,7,4,0,11,Matches
332,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,663,790,83.9,15630,4622,3,18,16.7,392,440,89.1,268,332,80.7,1,0.0,+1.0,1,48,1,0,42,Matches
333,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,26,31,83.9,390,132,1,2,50.0,22,25,88.0,3,4,75.0,0,0.1,-0.1,2,1,2,1,5,Matches
334,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
335,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.4,669,792,84.5,12495,2649,11,24,45.8,520,590,88.1,138,178,77.5,0,0.5,-0.5,11,37,4,0,40,Matches
336,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,29.7,1416,1649,85.9,26441,5628,34,64,53.1,1078,1209,89.2,304,376,80.9,1,0.4,+0.6,9,138,4,0,74,Matches
337,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,532,629,84.6,9407,2733,17,31,54.8,419,474,88.4,96,124,77.4,2,1.2,+0.8,13,47,10,0,61,Matches
338,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,7.0,186,234,79.5,2931,812,7,17,41.2,151,173,87.3,28,44,63.6,0,0.7,-0.7,10,8,9,4,26,Matches
339,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,10.4,303,397,76.3,4926,979,14,37,37.8,240,284,84.5,49,76,64.5,3,2.3,+0.7,15,15,8,4,35,Matches
340,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,34.0,1587,1974,80.4,38298,9144,11,32,34.4,953,1100,86.6,623,842,74.0,2,2.0,0.0,27,176,24,2,153,Matches
341,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,89,161,55.3,1410,740,0,6,0.0,77,109,70.6,12,46,26.1,0,0.0,0.0,0,3,2,1,14,Matches
342,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,3,5,60.0,40,0,0,0,,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
343,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,7.0,111,140,79.3,1668,248,2,10,20.0,96,114,84.2,13,16,81.3,0,0.7,-0.7,5,6,3,0,9,Matches
344,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,29.7,1217,1499,81.2,24638,7026,21,62,33.9,853,990,86.2,343,447,76.7,3,3.0,0.0,41,131,29,3,161,Matches
345,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,1664,2148,77.5,38890,11288,22,48,45.8,1085,1206,90.0,557,894,62.3,1,4.2,-3.2,50,230,36,12,257,Matches
346,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,105,182,57.7,3880,2799,0,0,,37,38,97.4,68,144,47.2,0,0.0,0.0,0,3,0,0,1,Matches
347,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,1156,1555,74.3,24611,9775,9,43,20.9,822,956,86.0,325,556,58.5,1,2.1,-1.1,10,100,23,4,132,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,112,144,77.8,1435,216,9,20,45.0,92,112,82.1,11,12,91.7,2,1.2,+0.8,10,2,2,0,5,Matches
349,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,31.0,744,945,78.7,16486,5262,4,15,26.7,494,562,87.9,246,368,66.8,0,0.1,-0.1,2,44,2,0,40,Matches
350,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,8.0,158,219,72.1,2486,349,6,9,66.7,132,168,78.6,20,42,47.6,1,0.2,+0.8,6,5,9,2,12,Matches
351,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,179,259,69.1,2906,738,6,18,33.3,144,175,82.3,29,66,43.9,0,0.9,-0.9,7,11,5,2,16,Matches
352,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1380,1488,92.7,29823,7222,6,17,35.3,932,980,95.1,442,491,90.0,0,0.2,-0.2,3,64,0,0,41,Matches
353,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,592,748,79.1,11902,2554,10,31,32.3,435,514,84.6,147,203,72.4,1,1.3,-0.3,17,81,31,7,79,Matches
354,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,754,891,84.6,12499,3375,12,31,38.7,626,675,92.7,116,185,62.7,2,2.3,-0.3,36,59,25,1,111,Matches
355,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,706,853,82.8,11369,3119,13,24,54.2,609,687,88.6,84,142,59.2,0,1.4,-1.4,18,27,8,5,55,Matches
356,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,873,973,89.7,19136,5507,8,15,53.3,582,608,95.7,283,350,80.9,0,0.2,-0.2,1,27,1,0,24,Matches
357,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,5,5,100.0,92,25,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
358,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,550,862,63.8,22555,15403,2,2,100.0,147,150,98.0,401,710,56.5,0,0.0,0.0,0,5,0,0,0,Matches
359,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,259,331,78.2,4261,967,6,18,33.3,215,253,85.0,38,60,63.3,1,0.8,+0.2,18,8,12,1,24,Matches
360,João Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,0.3,10,14,71.4,149,37,1,2,50.0,8,10,80.0,1,2,50.0,0,0.2,-0.2,1,1,1,1,2,Matches
361,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,22.3,616,803,76.7,9859,2378,13,43,30.2,511,584,87.5,92,176,52.3,6,4.4,+1.6,39,22,33,9,75,Matches
362,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,566,770,73.5,9868,2763,13,37,35.1,454,544,83.5,99,189,52.4,3,4.0,-1.0,31,54,17,4,83,Matches
363,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,1513,1875,80.7,25283,9727,14,66,21.2,1293,1479,87.4,206,330,62.4,2,3.6,-1.6,27,96,38,9,218,Matches
364,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,538,654,82.3,8707,1974,21,38,55.3,437,498,87.8,80,118,67.8,0,1.8,-1.8,18,33,15,4,55,Matches
365,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,22.3,616,773,79.7,8649,2157,30,73,41.1,529,614,86.2,57,86,66.3,4,3.8,+0.2,29,35,30,8,72,Matches
366,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,895,1373,65.2,31625,21730,18,18,100.0,430,431,99.8,447,924,48.4,0,0.1,-0.1,1,49,4,0,2,Matches
367,Brandon Pierrick\Brandon-Pierrick,eng ENG,MF,Crystal Palace,17,2001,0.2,,,,,,,,,,,,,,,0,,,,,,,,Matches
368,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,20.9,687,923,74.4,11937,4662,12,41,29.3,560,658,85.1,115,224,51.3,4,2.6,+1.4,17,38,15,6,104,Matches
369,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,3.2,74,105,70.5,1110,232,4,7,57.1,62,80,77.5,8,18,44.4,0,0.4,-0.4,5,3,3,0,9,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,880,1026,85.8,17760,4795,12,32,37.5,652,727,89.7,216,267,80.9,3,2.7,+0.3,27,118,29,1,116,Matches
371,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,536,1180,45.4,24510,19365,1,2,50.0,128,132,97.0,407,1046,38.9,0,0.7,-0.7,4,39,1,0,2,Matches
372,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.6,446,539,82.7,7653,1902,12,27,44.4,357,410,87.1,77,102,75.5,2,0.8,+1.2,9,33,10,3,39,Matches
373,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,6,10,60.0,81,55,0,0,,6,7,85.7,0,3,0.0,0,0.0,0.0,0,0,0,0,1,Matches
374,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.4,1483,1785,83.1,28710,8226,22,64,34.4,1126,1284,87.7,335,437,76.7,2,2.2,-0.2,27,166,27,6,194,Matches
375,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,32.1,421,522,80.7,5880,672,21,50,42.0,352,410,85.9,48,62,77.4,3,3.1,-0.1,28,13,6,2,18,Matches
376,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,19.1,546,700,78.0,8423,1622,13,44,29.5,468,552,84.8,65,104,62.5,4,3.4,+0.6,29,28,29,2,63,Matches
