,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,1084,1461,74.2,20414,6624,29,61,47.5,814,996,81.7,241,404,59.7,1,1.0,0.0,12,67,12,7,91,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,4,5,80.0,81,28,0,0,,2,3,66.7,2,2,100.0,0,0.0,0.0,0,1,0,0,2,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,61,76,80.3,776,85,5,9,55.6,51,61,83.6,5,6,83.3,1,0.2,+0.8,3,1,0,0,1,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1143,1434,79.7,23194,7622,12,30,40.0,829,954,86.9,302,450,67.1,1,0.1,+0.9,2,66,2,0,73,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,558,686,81.3,9186,2754,10,38,26.3,479,545,87.9,69,103,67.0,0,0.3,-0.3,2,32,8,2,49,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,185,239,77.4,4158,1593,3,4,75.0,115,136,84.6,67,99,67.7,0,0.1,-0.1,2,23,1,0,19,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,174,221,78.7,3565,1504,4,7,57.1,124,139,89.2,46,75,61.3,0,0.0,0.0,0,24,1,1,12,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,347,404,85.9,6806,1178,10,18,55.6,262,292,89.7,75,94,79.8,0,0.2,-0.2,8,22,2,1,15,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,190,326,58.3,2802,720,11,25,44.0,157,261,60.2,22,40,55.0,1,2.1,-1.1,17,14,11,2,34,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,132,192,68.8,2533,691,1,5,20.0,97,122,79.5,34,65,52.3,1,0.8,+0.2,10,4,9,8,20,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,298,386,77.2,5251,1145,5,23,21.7,233,280,83.2,60,83,72.3,1,0.4,+0.6,2,30,9,2,31,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,225,259,86.9,3150,545,10,15,66.7,193,215,89.8,22,29,75.9,1,1.0,0.0,13,10,11,4,18,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,426,573,74.3,6997,1976,9,41,22.0,353,426,82.9,64,106,60.4,2,2.0,0.0,22,37,26,6,66,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,286,383,74.7,4721,2080,4,15,26.7,241,296,81.4,41,72,56.9,0,0.2,-0.2,3,25,8,3,50,Matches
