,Player,Pos,Squad,Age,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,FK,PassCmp,PassAttm,TotalPassDist,PrgPassDist,ShortCmp,ShortAttm,MedCmp,MedAttm,LongCmp,LongAttm,KeyPasses,FinalThirdPass,PenPass,CrsPA,PrgPassNum,Live,Dead,ThroughBalls,PassUnderPressure,SwitchingPass,Cross,GroundPass,LowPass,HighPass,InterceptedPass,SCA,GCA,Tkl,TklW,TklDef,TklMid,TklAtt,DribTkl,DrbTklAttm,NumPressed,SuccPress,PressDef,PressMid,PressAtt,TotalBlocks,ShotsBlocked,PassesBlocked,PassesIntercepted,Clearances,TouchesDefPen,TouchesDef,TouchesMid,TouchesAtt,TouchesAttPen,LiveTouches,SuccDrib,AttmDrib,PlayersDrib,Nutmegs,Carries,DistCarried,PrgDistCarried,TargetOfPass,PassesRecvd,Miscontrols,Disposessed,Fouls,Recoveries,AerialsWon,AerialsLost
64,Filip Bradarić,MF,Celta Vigo,27.0,706.0,0.0,0.0,0.5,0.5,0.1,5.0,4.0,0.0,323.0,411.0,5769.0,1793.0,5.0,15.0,257.0,305.0,61.0,91.0,3.0,30.0,7.0,0.0,37.0,400.0,11.0,0.0,65.0,9.0,4.0,270.0,61.0,80.0,6.0,8.0,1.0,18.0,13.0,5.0,11.0,2.0,3.0,7.0,132.0,46.0,49.0,66.0,17.0,17.0,3.0,14.0,17.0,17.0,21.0,121.0,308.0,73.0,7.0,475.0,4.0,5.0,5.0,0.0,268.0,1288.0,604.0,336.0,321.0,3.0,6.0,13.0,81.0,12.0,13.0
65,Martin Braithwaite,"FW,MF",Barcelona,28.0,407.0,1.0,0.0,2.8,2.8,0.0,13.0,8.0,0.0,99.0,128.0,1325.0,141.0,3.0,6.0,91.0,116.0,5.0,6.0,1.0,5.0,1.0,0.0,4.0,126.0,2.0,0.0,29.0,0.0,4.0,103.0,14.0,11.0,3.0,8.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,45.0,15.0,6.0,15.0,24.0,1.0,0.0,1.0,1.0,3.0,2.0,19.0,65.0,94.0,24.0,168.0,5.0,8.0,5.0,0.0,123.0,714.0,408.0,193.0,142.0,4.0,7.0,8.0,15.0,6.0,4.0
66,Martin Braithwaite,"FW,MF",Leganés,28.0,1934.0,6.0,1.0,6.7,5.9,1.1,40.0,16.0,1.0,269.0,390.0,4023.0,865.0,8.0,26.0,231.0,310.0,30.0,54.0,12.0,25.0,10.0,0.0,32.0,386.0,4.0,3.0,112.0,10.0,9.0,215.0,103.0,72.0,12.0,42.0,5.0,15.0,9.0,5.0,6.0,4.0,3.0,11.0,303.0,70.0,39.0,122.0,142.0,21.0,3.0,18.0,4.0,8.0,9.0,58.0,298.0,288.0,75.0,602.0,32.0,52.0,35.0,3.0,405.0,2530.0,1271.0,775.0,442.0,47.0,27.0,30.0,90.0,49.0,68.0
67,Brandon,FW,Osasuna,24.0,406.0,0.0,1.0,0.9,0.9,0.4,9.0,2.0,0.0,82.0,117.0,1190.0,225.0,2.0,10.0,73.0,94.0,7.0,13.0,4.0,1.0,4.0,2.0,8.0,109.0,8.0,0.0,34.0,3.0,4.0,71.0,28.0,18.0,3.0,9.0,1.0,4.0,2.0,0.0,3.0,1.0,0.0,5.0,121.0,21.0,12.0,63.0,46.0,5.0,0.0,5.0,1.0,1.0,1.0,21.0,85.0,82.0,15.0,166.0,3.0,8.0,3.0,0.0,122.0,858.0,496.0,222.0,123.0,13.0,9.0,6.0,24.0,2.0,14.0
68,Darko Brašanac,MF,Osasuna,27.0,2245.0,0.0,1.0,1.8,1.8,1.6,21.0,7.0,0.0,576.0,772.0,9704.0,2418.0,18.0,55.0,458.0,577.0,100.0,140.0,19.0,51.0,9.0,2.0,62.0,760.0,12.0,2.0,163.0,11.0,15.0,473.0,170.0,129.0,11.0,46.0,4.0,40.0,27.0,13.0,24.0,3.0,10.0,40.0,430.0,122.0,86.0,220.0,124.0,21.0,4.0,17.0,21.0,28.0,38.0,168.0,566.0,298.0,59.0,968.0,12.0,22.0,12.0,0.0,559.0,2933.0,1410.0,866.0,604.0,27.0,30.0,57.0,232.0,41.0,79.0
69,Yan Brice Eteki,MF,Granada,21.0,1499.0,0.0,0.0,0.5,0.5,0.1,7.0,0.0,0.0,338.0,427.0,6083.0,1473.0,14.0,28.0,254.0,299.0,70.0,100.0,3.0,36.0,2.0,0.0,31.0,420.0,7.0,0.0,107.0,8.0,0.0,271.0,75.0,81.0,5.0,14.0,2.0,33.0,19.0,17.0,12.0,4.0,6.0,28.0,406.0,95.0,143.0,216.0,47.0,24.0,4.0,20.0,24.0,27.0,29.0,135.0,369.0,105.0,4.0,577.0,13.0,20.0,14.0,0.0,354.0,1656.0,751.0,315.0,276.0,8.0,18.0,51.0,178.0,25.0,26.0
70,Bryan,"MF,FW",Leganés,18.0,558.0,1.0,0.0,1.0,1.0,0.9,14.0,4.0,0.0,139.0,212.0,2138.0,707.0,4.0,22.0,120.0,146.0,15.0,44.0,12.0,6.0,8.0,5.0,21.0,195.0,17.0,1.0,40.0,8.0,34.0,125.0,42.0,45.0,3.0,22.0,1.0,14.0,10.0,4.0,8.0,2.0,3.0,6.0,146.0,43.0,30.0,71.0,45.0,10.0,0.0,10.0,2.0,2.0,2.0,46.0,133.0,159.0,34.0,294.0,11.0,20.0,13.0,2.0,234.0,1894.0,1148.0,266.0,202.0,18.0,17.0,10.0,54.0,2.0,7.0
71,Bryan,FW,Sevilla,18.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,28.0,283.0,57.0,3.0,4.0,21.0,21.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,28.0,0.0,0.0,5.0,1.0,2.0,24.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,18.0,4.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,24.0,2.0,34.0,3.0,5.0,3.0,0.0,34.0,277.0,164.0,36.0,29.0,0.0,3.0,1.0,4.0,0.0,1.0
72,Ante Budimir,FW,Mallorca,28.0,2765.0,13.0,2.0,10.3,8.8,1.0,54.0,20.0,0.0,381.0,584.0,4536.0,811.0,41.0,74.0,315.0,454.0,25.0,56.0,12.0,28.0,8.0,1.0,29.0,552.0,32.0,0.0,251.0,3.0,5.0,302.0,132.0,150.0,9.0,46.0,6.0,31.0,21.0,4.0,21.0,6.0,3.0,19.0,477.0,112.0,42.0,246.0,189.0,25.0,10.0,15.0,6.0,24.0,28.0,76.0,511.0,383.0,128.0,893.0,21.0,38.0,22.0,2.0,502.0,2922.0,1459.0,1329.0,674.0,83.0,49.0,67.0,109.0,141.0,161.0
73,Esteban Burgos,DF,Eibar,27.0,1119.0,1.0,0.0,0.7,0.7,0.1,2.0,1.0,0.0,244.0,380.0,6711.0,2423.0,3.0,6.0,113.0,144.0,128.0,230.0,1.0,27.0,1.0,0.0,33.0,355.0,25.0,0.0,62.0,30.0,1.0,134.0,62.0,184.0,1.0,4.0,0.0,15.0,9.0,14.0,1.0,0.0,7.0,11.0,75.0,27.0,45.0,28.0,2.0,23.0,10.0,13.0,19.0,84.0,71.0,267.0,269.0,8.0,3.0,494.0,7.0,7.0,7.0,0.0,210.0,1202.0,511.0,217.0,212.0,1.0,0.0,8.0,141.0,25.0,12.0
