,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,707,685,22,0,4,257,6,10,1,0,0,0,245,257,205,26,397,122,1,13,405,6,24,17,30,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,778,763,15,11,2,122,28,8,0,0,0,0,550,113,115,483,250,28,2,3,676,2,13,6,7,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,1284,1267,17,14,1,191,41,8,0,0,0,0,908,178,198,209,907,103,2,2,1087,4,8,20,25,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,823,731,92,30,3,178,25,91,33,14,11,4,544,151,128,66,732,9,8,6,603,4,9,20,48,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,876,857,19,18,0,140,28,3,0,0,0,0,597,100,179,118,653,55,1,2,713,4,13,16,7,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,1946,1407,539,64,3,294,72,270,108,53,39,8,809,438,699,1281,104,112,367,7,1353,6,33,35,90,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,3085,3000,85,74,8,324,131,0,0,0,0,0,2330,265,490,345,2476,152,11,6,2791,1,43,13,10,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,948,906,42,41,0,135,17,1,0,0,0,0,620,102,226,130,686,88,1,2,755,2,29,12,16,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,264,254,10,0,3,56,5,23,0,0,0,0,169,62,33,60,176,11,9,5,191,1,7,8,8,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,1793,1454,339,5,1,293,23,44,0,0,0,0,887,479,427,75,1180,116,334,12,1369,3,27,35,59,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,1658,1645,13,8,2,348,24,26,1,0,0,0,1171,297,190,260,1283,68,0,6,1302,4,19,29,64,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,19,18,1,1,0,1,0,0,0,0,0,0,19,0,0,4,15,0,0,0,19,0,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,20,19,1,1,0,3,1,0,0,0,0,0,9,2,9,3,14,3,0,0,11,0,2,0,1,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,167,163,4,4,0,32,7,1,0,0,0,0,96,44,27,35,126,3,0,0,136,0,5,2,6,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,164,152,12,0,0,49,5,3,2,2,0,0,102,44,18,19,121,7,1,9,125,0,4,4,3,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,1093,607,486,148,0,122,34,0,0,0,0,0,267,38,788,48,849,1,1,122,595,7,34,6,2,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,382,345,37,10,0,73,17,43,24,8,15,0,226,82,74,41,309,13,1,11,298,0,7,7,13,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,613,577,36,32,0,98,35,1,0,0,0,0,391,86,136,39,482,48,4,8,515,1,16,3,7,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,502,450,52,11,0,104,11,15,0,0,0,0,262,71,169,382,30,29,41,3,358,2,12,6,16,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,2192,2094,98,66,1,262,116,1,0,0,0,0,1529,264,399,137,1858,106,32,19,1913,7,51,22,9,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,1063,878,185,45,1,117,38,0,0,0,0,0,790,59,214,737,143,3,1,161,927,3,17,4,1,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,1212,1180,32,28,0,190,49,2,0,0,0,0,768,155,289,142,894,114,4,4,1017,2,30,2,6,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,15,11,4,0,0,0,1,3,3,0,2,0,8,3,4,13,1,0,1,0,12,0,0,0,0,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,633,533,100,6,0,102,12,58,0,0,0,0,304,136,193,7,482,30,94,1,484,3,9,18,14,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,605,586,19,17,0,91,29,2,0,0,0,0,399,68,138,53,491,31,2,1,503,2,9,5,4,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,743,659,84,26,4,119,35,72,46,18,16,5,468,111,164,173,532,23,10,2,549,4,9,18,19,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,2372,2285,87,72,2,306,60,8,0,0,0,0,1764,219,389,590,1585,117,15,5,2088,2,44,12,13,Matches
