,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
270,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,237,232,5,3,0,34,5,2,0,0,0,0,161,30,46,21,200,13,0,0,193,0,4,6,4,Matches
271,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,15.3,657,605,52,39,1,120,36,30,11,5,3,0,425,94,138,115,477,51,1,3,515,1,16,8,13,Matches
272,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,603,587,16,15,1,64,16,1,0,0,0,0,411,80,112,114,433,41,1,1,530,0,12,3,5,Matches
273,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,726,562,164,12,2,144,20,43,0,0,0,0,294,162,270,51,477,35,152,2,497,5,20,17,19,Matches
274,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,31.2,1713,1611,102,98,6,251,72,5,0,0,0,0,1235,161,317,409,1228,48,4,10,1481,7,31,9,14,Matches
275,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,29.0,1216,1151,65,44,2,177,58,24,3,0,1,0,696,246,274,123,979,70,6,13,984,2,28,14,12,Matches
276,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27.3,1202,1179,23,8,4,262,51,55,3,2,0,1,759,229,214,320,800,54,3,6,966,9,28,20,32,Matches
277,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.9,130,99,31,10,0,27,3,23,17,8,6,1,72,26,32,15,107,4,0,0,84,0,3,2,4,Matches
278,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,1674,1422,252,82,16,267,93,220,157,43,76,15,1051,247,376,158,1462,31,7,11,1282,8,30,36,38,Matches
279,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,38.0,2404,2328,76,66,1,363,91,2,0,0,0,0,1787,269,348,320,1862,119,10,11,2128,5,45,21,11,Matches
280,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,28,1991,21.6,1188,1113,75,11,23,202,50,88,55,25,3,6,890,138,160,1039,114,15,9,3,1009,5,16,19,27,Matches
281,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,15.4,999,816,183,18,0,159,14,17,0,0,0,0,630,231,138,128,673,21,165,6,825,1,24,24,31,Matches
282,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,30.5,1162,1141,21,8,10,245,26,49,0,0,0,0,766,243,153,235,839,39,10,15,933,3,17,29,50,Matches
283,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,17.8,632,502,130,4,0,104,13,45,0,0,0,0,313,126,193,49,405,39,126,2,452,2,15,9,24,Matches
284,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,12.7,601,516,85,8,0,129,33,64,14,7,3,2,325,115,161,459,45,24,60,3,435,1,15,11,29,Matches
285,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,91,90,1,1,0,4,3,0,0,0,0,0,61,15,15,80,9,2,0,0,81,0,2,0,1,Matches
286,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.8,585,451,134,7,1,73,12,21,0,0,0,0,253,121,211,44,356,42,127,0,426,2,15,6,10,Matches
287,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,29.2,721,692,29,4,5,203,3,11,0,0,0,0,587,94,40,123,560,12,4,6,575,2,7,14,43,Matches
288,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,124,61,63,19,0,14,1,0,0,0,0,0,14,5,105,1,98,0,0,10,55,0,0,1,0,Matches
289,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,16,16,0,0,0,7,0,0,0,0,0,0,13,1,2,5,11,0,0,0,12,0,0,1,1,Matches
290,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,138,136,2,1,1,41,1,22,0,0,0,0,78,32,28,23,102,7,1,1,86,0,0,5,13,Matches
291,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,8.6,293,211,82,21,1,29,7,0,0,0,0,0,171,10,112,33,190,1,0,46,212,0,14,0,1,Matches
292,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,20.2,934,716,218,17,0,162,39,68,8,5,1,1,322,172,440,568,62,67,193,5,582,6,23,8,32,Matches
293,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.4,588,500,88,8,1,140,18,25,0,0,0,0,383,112,93,448,33,23,80,0,472,2,7,10,27,Matches
294,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,523,494,29,8,2,116,11,23,10,5,1,2,377,67,79,444,64,4,6,2,442,2,3,6,15,Matches
295,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,17.6,1240,1210,30,26,1,220,30,3,0,0,0,0,979,125,136,1029,147,40,4,5,1095,1,11,17,22,Matches
296,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,514,498,16,12,0,74,13,1,0,0,0,0,384,62,68,56,417,23,4,1,448,0,14,7,3,Matches
297,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,30.7,688,624,64,4,3,181,13,12,0,0,0,0,491,145,52,122,507,24,10,14,540,6,8,20,33,Matches
298,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,34.3,1474,1404,70,5,4,371,22,42,1,0,0,0,994,219,261,351,992,61,30,11,1153,3,34,23,60,Matches
299,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,23.5,630,614,16,0,0,265,3,10,0,0,0,0,276,179,175,24,342,95,3,18,407,4,6,14,30,Matches
300,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,28.0,815,535,280,103,0,99,34,0,0,0,0,0,215,46,554,88,570,0,0,74,441,5,32,4,2,Matches
301,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,18.7,818,746,72,41,0,138,50,35,22,14,6,2,466,133,219,218,528,45,6,10,630,3,27,11,22,Matches
302,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,25.7,772,700,72,30,3,168,74,64,25,16,4,2,446,113,213,550,174,25,4,4,584,7,17,10,23,Matches
303,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,623,609,14,1,4,167,18,8,0,0,0,0,406,117,100,57,462,37,1,8,475,10,16,10,20,Matches
304,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,51,32,19,5,0,5,2,0,0,0,0,0,24,1,26,4,36,0,0,10,31,0,1,0,0,Matches
305,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,33.0,1689,1600,89,48,4,378,58,53,20,8,12,0,1077,324,288,1199,314,77,18,8,1324,8,35,36,36,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,37.1,1277,1151,126,56,4,295,109,256,60,52,4,2,740,159,378,1145,52,45,9,4,874,9,26,23,73,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.7,995,966,29,28,2,158,47,14,0,0,0,0,745,111,139,44,878,45,1,5,816,2,18,21,25,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,1172,1114,58,53,0,225,37,2,0,0,0,0,642,149,381,901,135,73,5,4,875,5,36,8,12,Matches
309,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1285,1158,127,13,0,159,33,86,0,0,0,0,900,225,160,1036,103,21,114,1,1108,5,14,18,32,Matches
310,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,212,211,1,1,0,29,4,2,0,0,0,0,172,21,19,20,187,4,0,0,194,1,3,2,1,Matches
311,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,483,475,8,8,0,86,13,3,0,0,0,0,363,37,83,55,377,29,0,4,414,1,12,4,4,Matches
312,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,213,211,2,1,1,52,0,9,0,0,0,0,160,31,22,68,132,11,1,0,160,1,1,7,14,Matches
313,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,1506,1257,249,137,1,239,107,146,99,61,25,6,895,208,403,204,1201,62,6,12,1161,2,41,21,21,Matches
314,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,10.4,773,707,66,12,4,114,35,20,8,3,2,1,522,135,116,78,633,15,34,3,664,3,13,10,15,Matches
315,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,1251,1216,35,34,0,212,50,4,0,0,0,0,890,140,221,162,967,79,1,1,1070,3,17,13,10,Matches
316,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.8,111,110,1,1,0,26,2,3,0,0,0,0,89,9,13,20,84,1,0,1,98,0,1,0,1,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,32.2,1333,1283,50,47,2,193,58,8,0,0,0,0,890,128,315,1071,157,67,3,3,1055,3,42,16,23,Matches
318,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,119,91,28,0,0,14,1,4,0,0,0,0,69,22,28,84,5,2,28,0,96,0,1,2,6,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,77,73,4,1,2,13,3,4,2,0,2,0,62,6,9,20,52,2,1,0,58,2,3,0,5,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,201,175,26,1,0,41,1,4,0,0,0,0,145,38,18,162,11,1,25,1,182,1,0,1,5,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,1255,1014,241,13,0,214,36,45,1,0,1,0,642,326,287,142,824,47,227,1,1006,2,7,30,44,Matches
322,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,48,25,23,12,0,1,3,0,0,0,0,0,8,1,39,3,33,0,0,4,19,0,3,1,0,Matches
323,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.2,1075,992,83,23,4,229,47,107,53,23,21,7,674,180,221,184,850,24,6,3,825,7,14,19,43,Matches
324,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,377,361,16,0,0,115,12,7,0,0,0,0,221,94,62,16,282,33,2,10,277,3,6,6,11,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,4.8,238,234,4,4,0,22,0,0,0,0,0,0,203,16,19,29,192,11,0,2,220,2,2,0,2,Matches
326,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,4,0,0,1,1,Matches
327,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,31.9,1380,1233,147,52,4,256,58,135,80,36,14,10,968,202,210,161,1165,28,9,6,1116,5,21,14,48,Matches
328,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,24.9,799,782,17,5,6,219,6,19,4,2,1,0,518,157,124,81,633,37,5,3,581,3,9,20,38,Matches
329,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,239,231,8,0,1,72,1,4,0,0,0,0,173,42,24,24,191,11,1,4,176,1,6,6,11,Matches
330,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.5,2022,1697,325,148,7,336,134,216,166,35,73,12,1005,414,603,122,1781,92,5,6,1614,4,33,27,38,Matches
331,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.9,177,170,7,1,1,52,3,4,0,0,0,0,85,51,41,17,118,15,2,7,116,0,5,1,11,Matches
332,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,790,773,17,16,0,109,29,2,0,0,0,0,592,66,132,33,682,48,1,4,663,0,15,4,14,Matches
333,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,31,29,2,1,0,11,0,1,0,0,0,0,23,6,2,10,19,0,0,1,26,0,0,0,1,Matches
334,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
335,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.4,792,768,24,20,0,172,17,3,0,0,0,0,600,102,90,636,103,34,3,2,669,2,15,13,11,Matches
336,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,29.7,1649,1626,23,23,1,307,50,3,0,0,0,0,1175,262,212,180,1341,75,0,4,1416,2,34,26,29,Matches
337,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,629,608,21,15,0,137,13,12,6,1,1,2,507,65,57,59,555,10,0,1,532,4,8,10,19,Matches
338,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,7.0,234,214,20,4,1,51,9,26,14,6,6,0,164,35,35,31,198,3,1,1,186,0,2,8,9,Matches
339,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,10.4,397,368,29,8,0,91,14,47,12,1,5,0,261,81,55,302,68,16,2,4,303,1,8,7,20,Matches
340,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,34.0,1974,1913,61,46,5,310,149,31,9,3,4,0,1133,346,495,157,1692,97,6,4,1587,4,46,21,24,Matches
341,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,161,116,45,0,0,40,3,12,0,0,0,0,54,34,73,18,84,8,45,1,89,0,4,8,9,Matches
342,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,5,5,0,0,0,2,0,1,0,0,0,0,3,2,0,1,3,0,0,1,3,0,0,1,0,Matches
343,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,7.0,140,129,11,0,0,22,0,1,0,0,0,0,111,17,12,22,109,6,0,1,111,0,2,3,7,Matches
344,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,29.7,1499,1387,112,62,5,268,66,40,14,9,2,1,890,287,322,104,1319,54,9,2,1217,8,28,28,45,Matches
345,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,2148,1928,220,92,2,351,205,198,121,85,17,8,1122,367,659,76,1914,112,7,4,1664,12,71,24,30,Matches
346,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,182,111,71,18,0,10,3,0,0,0,0,0,62,13,107,15,133,0,0,28,105,1,8,1,1,Matches
347,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,1555,1467,88,30,2,248,71,51,0,0,0,0,875,212,468,1269,61,110,58,4,1156,5,42,9,39,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,144,142,2,0,1,50,1,2,0,0,0,0,92,37,15,14,112,7,0,5,112,0,3,6,9,Matches
349,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,31.0,945,925,20,20,0,172,24,1,0,0,0,0,577,118,250,568,238,74,0,5,744,5,22,2,8,Matches
350,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,8.0,219,217,2,0,0,66,13,18,0,0,0,0,139,37,43,29,165,10,1,3,158,1,6,4,8,Matches
351,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,259,245,14,2,1,64,5,16,3,0,1,1,143,64,52,198,33,11,9,1,179,2,10,4,13,Matches
352,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1488,1474,14,10,0,142,35,0,0,0,0,0,1254,100,134,112,1299,38,4,4,1380,2,12,11,13,Matches
353,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,748,733,15,1,4,136,32,45,0,0,0,0,464,124,160,87,609,27,6,7,592,3,22,17,23,Matches
354,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,891,801,90,30,0,181,17,71,57,15,22,13,644,116,131,778,94,10,0,7,754,5,5,12,22,Matches
355,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,853,720,133,11,2,146,15,54,21,8,3,2,556,151,146,663,43,32,101,1,706,2,9,9,20,Matches
356,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,973,932,41,31,0,150,42,1,0,0,0,0,748,103,122,34,893,17,10,2,873,2,10,5,7,Matches
357,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,5,4,1,0,0,2,0,0,0,0,0,0,3,2,0,2,2,0,1,0,5,0,0,0,0,Matches
358,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,862,503,359,77,0,52,35,0,0,0,0,0,219,60,583,477,179,3,0,124,550,3,31,5,2,Matches
359,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,331,328,3,1,3,89,9,21,1,0,1,0,223,61,47,102,211,13,1,3,259,0,5,6,12,Matches
360,João Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,0.3,14,14,0,0,0,5,0,3,0,0,0,0,10,1,3,3,10,0,0,0,10,0,0,0,1,Matches
361,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,22.3,803,722,81,11,3,177,32,108,63,26,19,8,576,81,146,683,79,20,7,3,616,1,14,11,36,Matches
362,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,770,692,78,23,1,157,30,62,37,14,12,3,518,125,127,89,634,23,9,3,566,4,11,22,27,Matches
363,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,1875,1553,322,17,3,335,20,57,0,0,0,0,1095,399,381,195,1312,41,305,4,1513,3,18,46,67,Matches
364,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,654,613,41,5,4,121,15,31,22,9,6,1,410,141,103,91,503,36,13,6,538,1,10,16,18,Matches
365,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,22.3,773,753,20,5,8,198,9,29,0,0,0,0,537,157,79,70,650,18,6,13,616,2,13,13,41,Matches
366,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,1373,956,417,144,1,137,67,0,0,0,0,0,539,77,757,866,236,0,0,179,895,5,59,5,1,Matches
367,Brandon Pierrick\Brandon-Pierrick,eng ENG,MF,Crystal Palace,17,2001,0.2,,,,,,,,2,,,,,,,,,,,,,,,,,,Matches
368,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,20.9,923,737,186,10,2,180,20,41,1,1,0,0,455,191,277,623,56,44,175,4,687,4,17,14,34,Matches
369,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,3.2,105,102,3,0,1,18,0,5,2,0,1,0,75,13,17,12,90,3,0,0,74,1,3,2,3,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,1026,998,28,27,6,214,63,6,0,0,0,0,735,136,155,112,864,24,1,7,880,5,10,16,23,Matches
371,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,1180,718,462,155,1,105,31,0,1,1,0,0,217,69,894,59,838,3,1,168,536,8,63,5,4,Matches
372,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.6,539,532,7,3,2,106,10,21,0,0,0,0,359,95,85,39,451,39,3,3,446,1,7,6,18,Matches
373,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,10,10,0,0,0,2,0,0,0,0,0,0,3,2,5,1,6,1,0,0,6,0,1,0,0,Matches
374,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.4,1785,1760,25,18,6,323,34,37,0,0,0,0,1295,272,218,147,1548,64,4,7,1483,6,37,40,47,Matches
375,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,32.1,522,455,67,0,3,137,3,9,0,0,0,0,381,100,41,96,378,27,2,16,421,0,4,8,25,Matches
376,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,19.1,700,690,10,4,4,212,16,34,4,3,0,0,502,105,93,139,521,28,2,2,546,2,10,8,35,Matches
377,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,31,27,4,1,0,5,1,4,0,0,0,0,9,9,13,4,18,5,3,0,18,0,1,1,0,Matches
378,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9,0,0,0,9,0,0,0,0,Matches
379,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,1124,702,422,133,1,107,33,1,0,0,0,0,423,51,650,58,811,1,0,185,648,4,46,3,5,Matches
380,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,40,22,18,4,0,1,0,0,0,0,0,0,4,1,35,0,30,0,0,3,22,1,0,0,0,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,988,961,27,2,8,162,25,32,9,5,1,2,742,120,126,89,833,28,8,14,758,3,18,26,43,Matches
382,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,1061,1043,18,1,5,298,37,42,0,0,0,0,701,190,170,80,925,33,3,3,781,6,25,28,45,Matches
383,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,395,254,141,48,0,47,16,0,0,0,0,0,139,28,228,33,290,0,0,47,272,3,13,1,0,Matches
384,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38.0,1717,1685,32,28,2,323,81,26,0,0,0,0,1192,236,289,300,1286,89,4,2,1476,3,36,21,26,Matches
385,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,34.1,823,800,23,2,4,257,11,56,2,0,1,0,498,200,125,185,542,43,7,7,543,2,28,24,75,Matches
386,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,25.9,1482,1102,380,61,4,205,38,174,72,36,23,6,643,367,472,1060,70,84,247,2,1011,5,40,35,63,Matches
387,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,400,324,76,11,0,58,6,6,0,0,0,0,226,72,102,281,27,23,65,0,301,1,7,11,3,Matches
388,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,14.6,691,533,158,27,0,143,47,100,57,23,24,3,338,148,205,466,111,25,74,4,474,3,11,9,30,Matches
389,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,232,155,77,36,0,14,2,0,0,0,0,0,53,13,166,7,181,0,0,26,113,1,4,0,0,Matches
390,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,10,9,1,0,0,1,1,0,0,0,0,0,7,2,1,9,1,0,0,0,7,0,0,1,0,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,34.6,2928,2536,392,49,5,319,85,204,43,7,26,1,1834,521,573,2332,186,93,300,2,2370,4,44,36,82,Matches
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,155,146,9,0,1,38,9,15,0,0,0,0,105,26,24,31,114,4,1,2,117,0,5,3,7,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,257,230,27,9,1,23,9,6,0,0,0,0,160,22,75,184,32,16,18,1,193,0,13,1,7,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,2537,2505,32,30,0,478,100,8,0,0,0,0,1978,272,287,339,2056,87,2,12,2363,1,21,17,19,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,495,481,14,2,1,149,10,14,0,0,0,0,245,151,99,20,355,45,1,18,345,0,6,10,26,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,Matches
397,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,55,45,10,2,0,6,2,3,0,0,0,0,25,12,18,39,5,1,8,0,37,0,3,0,0,Matches
398,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,20.7,1038,1018,20,19,4,210,21,6,0,0,0,0,673,169,196,190,736,75,1,8,866,1,11,15,11,Matches
399,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,419,358,61,14,0,49,8,8,0,0,0,0,247,86,86,298,49,18,47,0,325,2,6,5,15,Matches
400,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,572,480,92,17,0,69,5,39,1,0,1,0,353,91,128,412,67,13,74,0,435,3,1,15,22,Matches
401,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,19.0,1449,1416,33,25,0,186,59,7,0,0,0,0,1054,154,241,275,1078,50,8,6,1272,6,24,5,13,Matches
402,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,7.7,260,252,8,2,2,62,2,2,0,0,0,0,154,65,41,50,193,9,4,0,196,0,3,9,13,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,1462,1129,333,59,0,219,47,0,0,0,0,0,797,100,565,175,990,3,0,233,1173,7,47,5,5,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,490,481,9,1,3,121,19,44,0,0,0,0,338,86,66,59,409,8,6,2,356,3,8,12,28,Matches
405,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,1541,1494,47,37,1,187,61,9,0,0,0,0,953,225,363,1232,137,97,10,5,1252,4,32,18,31,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,844,718,126,13,2,176,19,67,11,3,4,3,529,178,137,575,144,16,102,0,659,4,20,20,37,Matches
